State,Place_Name,Weather,Crowd_Level,Best_Time_To_Visit,Famous_For,Tourism_Type,Budget_Level
Sikkim,Pelling, Pleasant, Moderate, Oct-Mar, Hill View, Hill Station, Medium
Sikkim,Rumtek Monastery, Pleasant, Low, Oct-Mar, Monastery, Religious, Medium
Sikkim,Zuluk, Cold, Low, Oct-Mar, Scenic View, Nature, Medium

Tamil Nadu,Chettinad, Pleasant, Moderate, Oct-Mar, Heritage Town, Historical, Medium
Tamil Nadu,Yelagiri, Pleasant, Low, Oct-Mar, Hill Station, Hill Station, Medium
Tamil Nadu,Kolli Hills, Pleasant, Moderate, Oct-Mar, Hill View, Hill Station, Medium
Tamil Nadu,Kancheepuram, Pleasant, High, Oct-Mar, Temple City, Religious, Medium
Tamil Nadu,Hogenakkal Falls, Pleasant, Low, Oct-Mar, Waterfall, Nature, Medium

Telangana,Nagarjuna Sagar, Pleasant, Moderate, Oct-Mar, Dam & Lake, Nature, Medium
Telangana,Warangal Fort, Pleasant, Moderate, Oct-Mar, Fort, Historical, Medium
Telangana,Bhadrachalam, Pleasant, High, Oct-Mar, Temple Town, Religious, Medium
Telangana,Kuntala Falls, Pleasant, Low, Oct-Mar, Waterfall, Nature, Medium
Telangana,Medak Church, Pleasant, Moderate, Oct-Mar, Church, Historical, Medium

Tripura,Udaipur Palace, Pleasant, Moderate, Oct-Mar, Palace, Historical, Medium
Tripura,Neermahal, Pleasant, Moderate, Oct-Mar, Palace, Historical, Medium
Tripura,Tripura Sundari Temple, Pleasant, High, Oct-Mar, Temple, Religious, Medium
Tripura,Jampui Hills, Pleasant, Low, Oct-Mar, Hill View, Hill Station, Medium
Tripura,Sepahijala, Pleasant, Low, Oct-Mar, Wildlife Sanctuary, Wildlife, Medium

Uttar Pradesh,Chitrakoot, Pleasant, Moderate, Oct-Mar, Pilgrimage, Religious, Medium
Uttar Pradesh,Varanasi Ghats, Pleasant, High, Oct-Mar, River Ghats, Religious, Medium
Uttar Pradesh,Mathura, Pleasant, Moderate, Oct-Mar, Temple Town, Religious, Medium
Uttar Pradesh,Ayodhya, Pleasant, Moderate, Oct-Mar, Pilgrimage, Religious, Medium
Uttar Pradesh,Kanhauli, Pleasant, Low, Oct-Mar, Fort, Historical, Medium

Uttarakhand,Auli, Cold, Moderate, Dec-Feb, Ski Resort, Hill Station, Medium
Uttarakhand,Nainital, Pleasant, High, Oct-Mar, Hill Station, Hill Station, Medium
Uttarakhand,Rishikesh, Pleasant, Moderate, Oct-Mar, River Town, Spiritual, Medium
Uttarakhand,Hemkund Sahib, Cold, Low, May-Oct, Pilgrimage, Religious, Medium
Uttarakhand,Dehradun, Pleasant, Moderate, Oct-Mar, City, City, Medium

West Bengal,Darjeeling, Pleasant, High, Oct-Mar, Hill Station, Hill Station, Medium
West Bengal,Sundarbans, Pleasant, Low, Oct-Mar, Wildlife, Wildlife, Medium
West Bengal,Shantiniketan, Pleasant, Moderate, Oct-Mar, Heritage Town, Historical, Medium
West Bengal,Kolkata Victoria Memorial, Pleasant, High, Oct-Mar, Monument, Historical, Medium
West Bengal,Murshidabad, Pleasant, Moderate, Oct-Mar, Historical Town, Historical, Medium
Andaman & Nicobar,Neil Island, Pleasant, Low, Oct-Mar, Beach, Nature, Medium
Andaman & Nicobar,Havelock Island, Pleasant, Low, Oct-Mar, Beach, Nature, Medium
Andaman & Nicobar,Baratang Island, Pleasant, Low, Oct-Mar, Mangrove, Nature, Medium
Andaman & Nicobar,Radhanagar Beach, Pleasant, Low, Oct-Mar, Beach, Nature, Medium
Andaman & Nicobar,Diglipur, Pleasant, Low, Oct-Mar, Town, Nature, Medium

Chhattisgarh,Chitrakote Falls, Pleasant, Low, Oct-Mar, Waterfall, Nature, Medium
Chhattisgarh,Bastar Palace, Pleasant, Moderate, Oct-Mar, Palace, Historical, Medium
Chhattisgarh,Kanker, Pleasant, Low, Oct-Mar, Fort, Historical, Medium
Chhattisgarh,Maitri Bagh Zoo, Pleasant, Low, Oct-Mar, Zoo, Wildlife, Medium
Chhattisgarh,Kawardha, Pleasant, Moderate, Oct-Mar, Palace, Historical, Medium

Goa,Palolem Beach, Pleasant, Low, Oct-Mar, Beach, Beach, Medium
Goa,Baga Beach, Pleasant, Moderate, Oct-Mar, Beach, Beach, Medium
Goa,Chapora Fort, Pleasant, Low, Oct-Mar, Fort, Historical, Medium
Goa,Salim Ali Bird Sanctuary, Pleasant, Low, Oct-Mar, Wildlife, Nature, Medium
Goa,Dudhsagar Falls, Pleasant, Low, Oct-Mar, Waterfall, Nature, Medium

Haryana,Surajkund, Pleasant, Moderate, Oct-Mar, Crafts Fair, Cultural, Medium
Haryana,Panipat, Pleasant, Moderate, Oct-Mar, Fort, Historical, Medium
Haryana,Kurukshetra, Pleasant, High, Oct-Mar, Religious Site, Religious, Medium
Haryana,Brahat, Pleasant, Low, Oct-Mar, Town, Nature, Medium
Haryana,Morni Hills, Pleasant, Low, Oct-Mar, Hill, Nature, Medium

Himachal Pradesh,Spiti Valley, Cold, Low, May-Sep, Valley, Nature, Medium
Himachal Pradesh,Manali, Pleasant, High, Oct-Mar, Hill Station, Hill Station, Medium
Himachal Pradesh,Shimla, Pleasant, High, Oct-Mar, Hill Station, Hill Station, Medium
Himachal Pradesh,Dharamshala, Pleasant, Moderate, Oct-Mar, Hill Station, Hill Station, Medium
Himachal Pradesh,Kullu, Pleasant, Moderate, Oct-Mar, Valley, Hill Station, Medium

Jharkhand,Deoghar, Pleasant, Moderate, Oct-Mar, Temple Town, Religious, Medium
Jharkhand,Ranchi, Pleasant, Moderate, Oct-Mar, City, City, Medium
Jharkhand,Bokaro, Pleasant, Moderate, Oct-Mar, City, City, Medium
Jharkhand,Jamshedpur, Pleasant, Moderate, Oct-Mar, City, City, Medium
Jharkhand,Daltonganj, Pleasant, Low, Oct-Mar, Town, Nature, Medium

Kerala,Alleppey, Pleasant, Moderate, Oct-Mar, Backwater, Nature, Medium
Kerala,Munnar, Pleasant, Moderate, Oct-Mar, Hill Station, Hill Station, Medium
Kerala,Thekkady, Pleasant, Low, Oct-Mar, Wildlife Sanctuary, Wildlife, Medium
Kerala,Kumarakom, Pleasant, Low, Oct-Mar, Backwater, Nature, Medium
Kerala,Kovalam, Pleasant, Moderate, Oct-Mar, Beach, Beach, Medium

Lakshadweep,Kavaratti, Pleasant, Low, Oct-Mar, Island, Nature, Medium
Lakshadweep,Agatti, Pleasant, Low, Oct-Mar, Island, Nature, Medium
Lakshadweep,Bangaram, Pleasant, Low, Oct-Mar, Island, Nature, Medium
Lakshadweep,Minicoy, Pleasant, Low, Oct-Mar, Island, Nature, Medium
Lakshadweep,Kalpeni, Pleasant, Low, Oct-Mar, Island, Nature, Medium

Manipur,Imphal, Pleasant, Moderate, Oct-Mar, City, City, Medium
Manipur,Ukhrul, Pleasant, Low, Oct-Mar, Hill Town, Hill Station, Medium
Manipur,Moirang, Pleasant, Low, Oct-Mar, Lake, Nature, Medium
Manipur,Moreh, Pleasant, Low, Oct-Mar, Town, Border, Medium
Manipur,Senapati, Pleasant, Low, Oct-Mar, Hill, Nature, Medium

Maharashtra,Lonavala, Pleasant, Moderate, Oct-Mar, Hill Station, Hill Station, Medium
Maharashtra,Mahabaleshwar, Pleasant, Moderate, Oct-Mar, Hill Station, Hill Station, Medium
Maharashtra,Pune, Pleasant, High, Oct-Mar, City, City, Medium
Maharashtra,Nashik, Pleasant, Moderate, Oct-Mar, City, City, Medium
Maharashtra,Alibaug, Pleasant, Moderate, Oct-Mar, Beach, Beach, Medium

Meghalaya,Shillong, Pleasant, Moderate, Oct-Mar, Hill Station, Hill Station, Medium
Meghalaya,Cherrapunji, Pleasant, High, Oct-Mar, Hill Station, Nature, Medium
Meghalaya,Mawlynnong, Pleasant, Low, Oct-Mar, Village, Nature, Medium
Meghalaya,Nongkrem, Pleasant, Low, Oct-Mar, Village, Cultural, Medium
Meghalaya,Laitumkhrah, Pleasant, Moderate, Oct-Mar, Town, Hill Station, Medium

Mizoram,Aizawl, Pleasant, Moderate, Oct-Mar, City, City, Medium
Mizoram,Lunglei, Pleasant, Low, Oct-Mar, Town, Hill Station, Medium
Mizoram,Serchhip, Pleasant, Low, Oct-Mar, Town, Hill Station, Medium
Mizoram,Saiha, Pleasant, Low, Oct-Mar, Town, Hill Station, Medium
Mizoram,Champhai, Pleasant, Low, Oct-Mar, Town, Nature, Medium

Nagaland,Kohima, Pleasant, Moderate, Oct-Mar, City, Hill Station, Medium
Nagaland,Dimapur, Pleasant, Moderate, Oct-Mar, City, City, Medium
Nagaland,Mokokchung, Pleasant, Low, Oct-Mar, Town, Nature, Medium
Nagaland,Phek, Pleasant, Low, Oct-Mar, Town, Nature, Medium
Nagaland,Wokha, Pleasant, Low, Oct-Mar, Town, Hill, Medium

Odisha,Bhubaneswar, Pleasant, High, Oct-Mar, City, City, Medium
Odisha,Puri, Pleasant, High, Oct-Mar, Temple Town, Religious, Medium
Odisha,Konark, Pleasant, High, Oct-Mar, Temple, Historical, Medium
Odisha,Chilika, Pleasant, Low, Oct-Mar, Lake, Nature, Medium
Odisha,Satkosia, Pleasant, Low, Oct-Mar, Wildlife, Nature, Medium

Puducherry,Puducherry, Pleasant, Moderate, Oct-Mar, City, City, Medium
Puducherry,Auroville, Pleasant, Low, Oct-Mar, Town, Spiritual, Medium
Puducherry,Paradise Beach, Pleasant, Low, Oct-Mar, Beach, Beach, Medium
Puducherry,Chunnambar, Pleasant, Low, Oct-Mar, River, Nature, Medium
Puducherry,Arikamedu, Pleasant, Low, Oct-Mar, Archaeological, Historical, Medium

